requested_dpus,allocated_dpus,tasklets,phase,iter,ns
8,8,8,launch,39,47891
8,8,8,launch,40,46977
8,8,8,launch,41,47244
8,8,8,launch,42,48141
8,8,8,launch,43,48078
8,8,8,launch,44,46354
8,8,8,launch,45,47700
8,8,8,launch,46,47222
8,8,8,launch,47,46737
8,8,8,launch,48,47262
8,8,8,launch,49,47932
16,16,8,alloc,0,35508620
16,16,8,load,0,318938
16,16,8,launch,0,49953
16,16,8,launch,1,48253
16,16,8,launch,2,46806
16,16,8,launch,3,52107
16,16,8,launch,4,46961
16,16,8,launch,5,47227
16,16,8,launch,6,47671
16,16,8,launch,7,47366
16,16,8,launch,8,47194
16,16,8,launch,9,46363
16,16,8,launch,10,47166
16,16,8,launch,11,53158
16,16,8,launch,12,48169
16,16,8,launch,13,52667
16,16,8,launch,14,52553
16,16,8,launch,15,46952
16,16,8,launch,16,47196
16,16,8,launch,17,53278
16,16,8,launch,18,53762
16,16,8,launch,19,52898
16,16,8,launch,20,51685
16,16,8,launch,21,53987
16,16,8,launch,22,47334
16,16,8,launch,23,46546
16,16,8,launch,24,46945
16,16,8,launch,25,47427
16,16,8,launch,26,47484
16,16,8,launch,27,47764
16,16,8,launch,28,46457
16,16,8,launch,29,46572
16,16,8,launch,30,47165
16,16,8,launch,31,52206
16,16,8,launch,32,298818
16,16,8,launch,33,51391
16,16,8,launch,34,51848
16,16,8,launch,35,46592
16,16,8,launch,36,52380
16,16,8,launch,37,49393
16,16,8,launch,38,47075
16,16,8,launch,39,46565
16,16,8,launch,40,46945
16,16,8,launch,41,52520
16,16,8,launch,42,47354
16,16,8,launch,43,52463
16,16,8,launch,44,48041
16,16,8,launch,45,47525
16,16,8,launch,46,46353
16,16,8,launch,47,46731
16,16,8,launch,48,46935
16,16,8,launch,49,48198
32,32,8,alloc,0,22837310
32,32,8,load,0,313239
32,32,8,launch,0,49577
32,32,8,launch,1,47641
32,32,8,launch,2,47162
32,32,8,launch,3,48615
32,32,8,launch,4,47499
32,32,8,launch,5,47441
32,32,8,launch,6,48370
32,32,8,launch,7,51589
32,32,8,launch,8,47092
32,32,8,launch,9,47431
32,32,8,launch,10,47812
32,32,8,launch,11,47423
32,32,8,launch,12,46296
32,32,8,launch,13,46637
32,32,8,launch,14,48085
32,32,8,launch,15,48067
32,32,8,launch,16,47318
32,32,8,launch,17,46490
32,32,8,launch,18,47724
32,32,8,launch,19,47329
32,32,8,launch,20,47158
32,32,8,launch,21,48221
32,32,8,launch,22,47175
32,32,8,launch,23,47285
32,32,8,launch,24,47579
32,32,8,launch,25,47806
32,32,8,launch,26,45860
32,32,8,launch,27,49189
32,32,8,launch,28,47712
32,32,8,launch,29,47186
32,32,8,launch,30,47768
32,32,8,launch,31,47819
32,32,8,launch,32,46442
32,32,8,launch,33,46508
32,32,8,launch,34,47413
32,32,8,launch,35,47169
32,32,8,launch,36,47666
32,32,8,launch,37,47357
32,32,8,launch,38,47770
32,32,8,launch,39,46635
32,32,8,launch,40,47634
32,32,8,launch,41,47825
32,32,8,launch,42,47150
32,32,8,launch,43,47915
32,32,8,launch,44,47785
32,32,8,launch,45,47352
32,32,8,launch,46,48696
32,32,8,launch,47,47493
32,32,8,launch,48,45996
32,32,8,launch,49,48097
64,64,8,alloc,0,15825671
64,64,8,load,0,316990
64,64,8,launch,0,49400
64,64,8,launch,1,46007
64,64,8,launch,2,46980
64,64,8,launch,3,47379
64,64,8,launch,4,46929
64,64,8,launch,5,46956
64,64,8,launch,6,47916
64,64,8,launch,7,49277
64,64,8,launch,8,46433
64,64,8,launch,9,47409
64,64,8,launch,10,47011
64,64,8,launch,11,47132
64,64,8,launch,12,47423
64,64,8,launch,13,46365
64,64,8,launch,14,48614
64,64,8,launch,15,47365
64,64,8,launch,16,47281
64,64,8,launch,17,47673
64,64,8,launch,18,46440
64,64,8,launch,19,47917
64,64,8,launch,20,47901
64,64,8,launch,21,47667
64,64,8,launch,22,48172
64,64,8,launch,23,47090
64,64,8,launch,24,47229
64,64,8,launch,25,47547
64,64,8,launch,26,47290
64,64,8,launch,27,47433
64,64,8,launch,28,48632
64,64,8,launch,29,46497
64,64,8,launch,30,47105
64,64,8,launch,31,47441
64,64,8,launch,32,46115
64,64,8,launch,33,47302
64,64,8,launch,34,46892
64,64,8,launch,35,46635
64,64,8,launch,36,48387
64,64,8,launch,37,47215
64,64,8,launch,38,47930
64,64,8,launch,39,47126
64,64,8,launch,40,46242
64,64,8,launch,41,47820
64,64,8,launch,42,45931
64,64,8,launch,43,48521
64,64,8,launch,44,47048
64,64,8,launch,45,47475
64,64,8,launch,46,48175
64,64,8,launch,47,48462
64,64,8,launch,48,47258
64,64,8,launch,49,47444
128,128,8,alloc,0,17475506
128,128,8,load,0,352964
128,128,8,launch,0,59777
128,128,8,launch,1,58067
128,128,8,launch,2,58146
128,128,8,launch,3,58766
128,128,8,launch,4,56946
128,128,8,launch,5,58130
128,128,8,launch,6,58908
128,128,8,launch,7,58428
128,128,8,launch,8,60027
128,128,8,launch,9,57885
128,128,8,launch,10,57211
128,128,8,launch,11,56914
128,128,8,launch,12,56915
128,128,8,launch,13,58174
128,128,8,launch,14,58522
128,128,8,launch,15,56447
128,128,8,launch,16,60339
128,128,8,launch,17,57624
128,128,8,launch,18,58564
128,128,8,launch,19,58991
128,128,8,launch,20,57381
128,128,8,launch,21,57407
128,128,8,launch,22,57329
128,128,8,launch,23,57060
128,128,8,launch,24,60139
128,128,8,launch,25,57040
128,128,8,launch,26,58299
128,128,8,launch,27,57631
128,128,8,launch,28,60491
128,128,8,launch,29,58267
128,128,8,launch,30,58442
128,128,8,launch,31,101232
128,128,8,launch,32,58940
128,128,8,launch,33,57367
128,128,8,launch,34,58709
128,128,8,launch,35,57859
128,128,8,launch,36,59928
128,128,8,launch,37,56839
128,128,8,launch,38,57138
128,128,8,launch,39,57168
128,128,8,launch,40,58196
128,128,8,launch,41,59821
128,128,8,launch,42,59631
128,128,8,launch,43,57191
128,128,8,launch,44,56794
128,128,8,launch,45,56920
128,128,8,launch,46,58261
128,128,8,launch,47,56909
128,128,8,launch,48,56790
128,128,8,launch,49,58158
256,256,8,alloc,0,19991136
256,256,8,load,0,359243
256,256,8,launch,0,79612
256,256,8,launch,1,79168
256,256,8,launch,2,77477
256,256,8,launch,3,78128
256,256,8,launch,4,78253
256,256,8,launch,5,77768
256,256,8,launch,6,77567
256,256,8,launch,7,77593
256,256,8,launch,8,80807
256,256,8,launch,9,78164
256,256,8,launch,10,76977
256,256,8,launch,11,79207
256,256,8,launch,12,79125
256,256,8,launch,13,76982
256,256,8,launch,14,78103
256,256,8,launch,15,78058
256,256,8,launch,16,79693
256,256,8,launch,17,508578
256,256,8,launch,18,77400
256,256,8,launch,19,77615
256,256,8,launch,20,78487
256,256,8,launch,21,76948
256,256,8,launch,22,77943
256,256,8,launch,23,77688
256,256,8,launch,24,76570
256,256,8,launch,25,77551
256,256,8,launch,26,77661
256,256,8,launch,27,76701
256,256,8,launch,28,77132
256,256,8,launch,29,77665
256,256,8,launch,30,76986
256,256,8,launch,31,77124
256,256,8,launch,32,77877
256,256,8,launch,33,77578
256,256,8,launch,34,76314
256,256,8,launch,35,79344
256,256,8,launch,36,78323
256,256,8,launch,37,76923
256,256,8,launch,38,77991
256,256,8,launch,39,79170
256,256,8,launch,40,77826
256,256,8,launch,41,77765
256,256,8,launch,42,80367
256,256,8,launch,43,78959
256,256,8,launch,44,78328
256,256,8,launch,45,76365
256,256,8,launch,46,78348
256,256,8,launch,47,78618
256,256,8,launch,48,76948
256,256,8,launch,49,76848
512,512,8,alloc,0,25525694
512,512,8,load,0,404104
512,512,8,launch,0,90937
512,512,8,launch,1,88694
512,512,8,launch,2,87080
512,512,8,launch,3,96407
512,512,8,launch,4,89273
512,512,8,launch,5,88174
512,512,8,launch,6,90814
512,512,8,launch,7,91375
512,512,8,launch,8,90946
512,512,8,launch,9,88264
512,512,8,launch,10,90191
512,512,8,launch,11,90106
512,512,8,launch,12,92344
512,512,8,launch,13,87646
512,512,8,launch,14,89498
512,512,8,launch,15,89343
512,512,8,launch,16,87975
