iteration,elapsed_ns,num_dpus
0,390883,256
0,386856,256
0,390853,256
0,379901,256
0,391194,256
0,408504,256
0,411614,256
0,415638,256
0,411165,256
0,415480,256
0,407805,256
0,405550,256
0,414298,256
0,410027,256
0,410911,256
0,413183,256
1,391731,256
1,380144,256
1,384246,256
1,403919,256
1,400677,256
1,404279,256
1,408390,256
1,418343,256
1,423626,256
1,415301,256
1,402410,256
1,401917,256
1,407647,256
1,406384,256
1,405419,256
1,406263,256
2,397559,256
2,392696,256
2,397471,256
2,413076,256
2,410887,256
2,410193,256
2,409299,256
2,417871,256
2,418509,256
2,419598,256
2,415037,256
2,423364,256
2,415793,256
2,420440,256
2,421441,256
2,417915,256
3,395922,256
3,397258,256
3,391219,256
3,396179,256
3,386849,256
3,415452,256
3,415772,256
3,416850,256
3,413701,256
3,435874,256
3,423148,256
3,422520,256
3,416026,256
3,424165,256
3,426482,256
3,421388,256
4,405912,256
4,401021,256
4,399683,256
4,422466,256
4,410335,256
4,412583,256
4,422399,256
4,424557,256
4,425667,256
4,419763,256
4,417893,256
4,422581,256
4,432530,256
4,426322,256
4,425154,256
4,421959,256
5,407242,256
5,405489,256
5,403824,256
5,398928,256
5,420085,256
5,425719,256
5,414813,256
5,419471,256
5,439093,256
5,427436,256
5,441687,256
5,430666,256
5,433161,256
5,433243,256
5,427417,256
5,439423,256
6,407573,256
6,404463,256
6,404687,256
6,420115,256
6,413593,256
6,412819,256
6,438413,256
6,433406,256
6,432721,256
6,427303,256
6,432443,256
6,430773,256
6,436954,256
6,436117,256
6,432265,256
6,435283,256
7,405696,256
7,401693,256
7,398873,256
7,431466,256
7,428280,256
7,425663,256
7,424095,256
7,435109,256
7,429240,256
7,433945,256
7,430745,256
7,434213,256
7,436892,256
7,423580,256
7,425785,256
7,428252,256
8,418957,256
8,508166,256
8,423960,256
8,448804,256
8,444960,256
8,435749,256
8,441633,256
8,446022,256
8,448919,256
8,451739,256
8,450681,256
8,448764,256
8,461875,256
8,443873,256
8,454765,256
8,446288,256
9,421995,256
9,403139,256
9,416601,256
9,428572,256
9,414726,256
9,439176,256
9,437540,256
9,438184,256
9,432331,256
9,437090,256
9,433251,256
9,449015,256
9,434134,256
9,442201,256
9,437061,256
9,442910,256
