fn_name,seed,dpus,tasklets,wramRow,wramCol,dpuCols,mramRow,mramCol,cinm2_unc_ms,cinm1_best_ms,cinm1_n_configs,speedup_vs_cinm1_best,prim
gemv_4MB,253,256.0,16.0,2.0,64.0,16.0,64.0,64.0,20.1918725,3.418309,17,0.1692913324408125,prim_gemv
gemv_4MB,284,256.0,8.0,1.0,256.0,2.0,8.0,512.0,18.11979183333333,3.418309,17,0.1886505668189657,prim_gemv
gemv_4MB,315,64.0,16.0,1.0,256.0,2.0,32.0,512.0,19.55151333333333,3.418309,17,0.174836031447864,prim_gemv
gemv_4MB,346,128.0,16.0,8.0,64.0,16.0,128.0,64.0,24.783174833333334,3.418309,17,0.1379286158043956,prim_gemv
gemv_4MB,377,512.0,4.0,16.0,32.0,32.0,64.0,32.0,20.37611233333333,3.418309,17,0.1677606083083856,prim_gemv
gemv_4MB,408,128.0,4.0,4.0,64.0,16.0,128.0,64.0,20.627738,3.418309,17,0.1657141951289084,prim_gemv
gemv_4MB,439,128.0,16.0,32.0,16.0,64.0,512.0,16.0,25.31876433333333,3.418309,17,0.1350108936990909,prim_gemv
gemv_4MB,470,64.0,16.0,8.0,64.0,8.0,128.0,128.0,23.389644333333333,3.418309,17,0.14614625820233,prim_gemv
gemv_4MB,501,128.0,4.0,1.0,64.0,1.0,8.0,1024.0,6.409143666666667,3.418309,17,0.5333487869492289,prim_gemv
gemv_4MB,532,1024.0,8.0,2.0,64.0,16.0,16.0,64.0,18.7638255,3.418309,17,0.1821754844181427,prim_gemv
gemv_4MB,563,512.0,8.0,1.0,256.0,4.0,8.0,256.0,19.056275666666668,3.418309,17,0.1793796993595827,prim_gemv
gemv_4MB,594,32.0,16.0,4.0,4.0,32.0,1024.0,32.0,21.261600166666668,3.418309,17,0.1607738351396113,prim_gemv
gemv_4MB,625,1024.0,8.0,8.0,16.0,64.0,64.0,16.0,21.6058665,3.418309,17,0.1582120763358414,prim_gemv
gemv_4MB,656,128.0,16.0,16.0,8.0,64.0,512.0,16.0,23.372198166666667,3.418309,17,0.1462553490101405,prim_gemv
gemv_4MB,67,128.0,8.0,4.0,128.0,4.0,32.0,256.0,22.2811115,3.418309,17,0.1534173463473759,prim_gemv
gemv_4MB,687,1024.0,1.0,8.0,128.0,8.0,8.0,128.0,17.996644,3.418309,17,0.1899414690872364,prim_gemv
gemv_4MB,718,512.0,4.0,32.0,16.0,64.0,128.0,16.0,23.62976916666667,3.418309,17,0.1446611253749375,prim_gemv
gemv_4MB,749,512.0,8.0,8.0,32.0,32.0,64.0,32.0,21.2313015,3.418309,17,0.1610032715139955,prim_gemv
gemv_4MB,780,256.0,16.0,2.0,32.0,16.0,64.0,64.0,18.67464233333333,3.418309,17,0.1830454869755917,prim_gemv
gemv_4MB,811,128.0,4.0,64.0,32.0,32.0,256.0,32.0,24.953523,3.418309,17,0.1369870298474488,prim_gemv
gemv_4MB,842,64.0,16.0,2.0,1.0,32.0,512.0,32.0,28.335469,3.418309,17,0.1206371068006673,prim_gemv
gemv_4MB,873,32.0,4.0,4.0,512.0,1.0,32.0,1024.0,10.782342333333334,3.418309,17,0.3170284242814648,prim_gemv
gemv_4MB,904,64.0,8.0,2.0,1.0,1.0,16.0,1024.0,14.738599333333331,3.418309,17,0.2319290268152573,prim_gemv
gemv_4MB,935,512.0,2.0,16.0,4.0,16.0,32.0,64.0,18.25306,3.418309,17,0.187273202410993,prim_gemv
gemv_4MB,966,1024.0,2.0,32.0,16.0,64.0,64.0,16.0,20.024471833333333,3.418309,17,0.170706574857559,prim_gemv
gemv_4MB,98,512.0,2.0,16.0,64.0,16.0,32.0,64.0,19.680292166666668,3.418309,17,0.1736919843999944,prim_gemv
gemv_4MB,997,64.0,16.0,32.0,2.0,32.0,512.0,32.0,20.62441133333333,3.418309,17,0.165740924419758,prim_gemv
gemv_512MB,1028,2048.0,8.0,2.0,256.0,32.0,128.0,512.0,2217.6792525,117.45674983333332,17,0.0529638132750368,prim_gemv
gemv_512MB,129,2048.0,4.0,2.0,2.0,2.0,8.0,8192.0,2234.8507821666667,117.45674983333332,17,0.0525568645435289,prim_gemv
gemv_512MB,160,1024.0,4.0,8.0,4.0,4.0,32.0,4096.0,2226.846057,117.45674983333332,17,0.0527457879111637,prim_gemv
gemv_512MB,191,1024.0,4.0,16.0,128.0,32.0,256.0,512.0,2245.4180765,117.45674983333332,17,0.0523095235861005,prim_gemv
gemv_512MB,222,512.0,2.0,1.0,1024.0,1.0,16.0,16384.0,972.6531445,117.45674983333332,17,0.1207591323767455,prim_gemv
gemv_512MB,253,512.0,16.0,1.0,512.0,32.0,512.0,512.0,2308.0970575,117.45674983333332,17,0.0508889994255942,prim_gemv
gemv_512MB,284,1024.0,8.0,16.0,64.0,16.0,128.0,1024.0,2235.6924205,117.45674983333332,17,0.0525370792316166,prim_gemv
gemv_512MB,315,1024.0,4.0,64.0,1.0,64.0,512.0,256.0,2251.6228741666664,117.45674983333332,17,0.052165374220052,prim_gemv
gemv_512MB,346,1024.0,2.0,32.0,128.0,128.0,1024.0,128.0,2319.298383833333,117.45674983333332,17,0.0506432249735805,prim_gemv
gemv_512MB,377,2048.0,4.0,1.0,2048.0,1.0,4.0,16384.0,862.1381773333334,117.45674983333332,17,0.1362388917709653,prim_gemv
gemv_512MB,408,1024.0,8.0,16.0,2.0,16.0,128.0,1024.0,2242.0527358333334,117.45674983333332,17,0.052388040636197,prim_gemv
gemv_512MB,439,1024.0,8.0,4.0,256.0,4.0,32.0,4096.0,2212.670334166666,117.45674983333332,17,0.0530837097689791,prim_gemv
gemv_512MB,470,512.0,8.0,8.0,128.0,16.0,256.0,1024.0,2287.0666055,117.45674983333332,17,0.0513569432350024,prim_gemv
gemv_512MB,501,1024.0,16.0,2.0,4.0,8.0,64.0,2048.0,2248.479006,117.45674983333332,17,0.0522383128861347,prim_gemv
gemv_512MB,532,512.0,4.0,8.0,256.0,64.0,1024.0,256.0,2310.9962701666664,117.45674983333332,17,0.0508251576818263,prim_gemv
gemv_512MB,563,512.0,16.0,1.0,2.0,128.0,2048.0,128.0,2486.2708068333336,117.45674983333332,17,0.0472421385114252,prim_gemv
gemv_512MB,594,2048.0,16.0,2.0,256.0,16.0,64.0,1024.0,2218.7116965,117.45674983333332,17,0.0529391673639348,prim_gemv
gemv_512MB,625,2048.0,4.0,256.0,1.0,256.0,1024.0,64.0,2322.362468,117.45674983333332,17,0.0505764071938719,prim_gemv
gemv_512MB,656,1024.0,4.0,64.0,4.0,32.0,256.0,512.0,2235.4506903333336,117.45674983333332,17,0.0525427603217761,prim_gemv
gemv_512MB,67,1024.0,8.0,1.0,512.0,32.0,256.0,512.0,2239.2434968333337,117.45674983333332,17,0.0524537639606576,prim_gemv
gemv_512MB,687,512.0,16.0,1.0,1.0,1.0,16.0,16384.0,1225.8424391666667,117.45674983333332,17,0.0958171671011659,prim_gemv
gemv_512MB,718,1024.0,4.0,8.0,256.0,64.0,512.0,256.0,2245.9896385,117.45674983333332,17,0.0522962117989901,prim_gemv
gemv_512MB,749,1024.0,8.0,1.0,8.0,1.0,8.0,16384.0,878.4083896666666,117.45674983333332,17,0.1337154235035313,prim_gemv
gemv_512MB,780,512.0,16.0,2.0,64.0,16.0,256.0,1024.0,2289.135019833333,117.45674983333332,17,0.0513105381795631,prim_gemv
gemv_512MB,811,512.0,8.0,8.0,128.0,64.0,1024.0,256.0,2295.8839085,117.45674983333332,17,0.0511597077702734,prim_gemv
