fn_name,dpus,tasklets,cinm1_ms,cinm2_ms,cinm2_ms_geomean,cinm2_p25,cinm2_p75,cinm2_n,speedup,speedup_seed_geomean,prim
gemv_4MB,32,4,16.9055309,19.09628155,17.408842023440197,10.17817295,23.95324555,32,0.8852786787697943,0.971088764964234,prim_gemv
gemv_4MB,32,8,11.5720825,20.4274681,16.758684430282212,12.99186165,21.6809663,32,0.566496172866377,0.6905125845731513,prim_gemv
gemv_4MB,32,16,9.7423179,26.09032925,22.61734386733437,21.347728275,28.655878150000003,32,0.3734072424555547,0.4307454472614077,prim_gemv
gemv_4MB,64,2,17.1598902,8.66750995,10.553909299205715,8.0660211,12.132553525,32,1.9797946929383103,1.62592738989063,prim_gemv
gemv_4MB,64,4,9.3603281,8.073788149999999,9.18643902522599,7.78345515,8.750259549999999,32,1.1593477468194409,1.018928887928882,prim_gemv
gemv_4MB,64,8,6.7096357,8.4376156,8.945519825437545,7.697877575,9.1008077,32,0.7952051880628455,0.7500554278489698,prim_gemv
gemv_4MB,64,16,5.8587145,9.2810303,10.042679525687598,8.9094118,9.601596399999998,32,0.6312569090524357,0.5833816049804564,prim_gemv
gemv_4MB,128,1,17.3996245,8.5693375,11.195873215183068,8.2967179,18.01915205,32,2.030451537239606,1.5541105339067112,prim_gemv
gemv_4MB,128,2,9.6336553,7.8922741,9.780827760193008,7.489231849999999,9.463138675,32,1.2206437812391744,0.9849529647386304,prim_gemv
gemv_4MB,128,4,5.9680835,7.48241685,7.930006665055576,7.1684261000000005,7.760845850000001,32,0.797614409841387,0.7525950168868077,prim_gemv
gemv_4MB,128,8,4.4800821,7.6004485,7.642278122709502,7.285565150000001,8.0011872,32,0.5894497015537965,0.5862233784304655,prim_gemv
gemv_4MB,256,1,8.8896272,7.15676455,9.620840021445028,6.691277475,17.708901349999998,32,1.2421293362235872,0.9239969878082224,prim_gemv
gemv_4MB,256,2,5.0752983,7.420321149999999,9.208914280626235,7.118848275,10.5089038,32,0.6839728628187475,0.5511288459571656,prim_gemv
gemv_4MB,256,4,3.418309,7.8401817,10.160363148650475,6.9419308,18.515344975,32,0.4359986963057246,0.3364357110064543,prim_gemv
gemv_4MB,512,1,6.3863623,7.50946345,10.516205428643532,7.088045599999999,18.017635225,32,0.8504418914243467,0.6072877087970472,prim_gemv
gemv_4MB,512,2,3.8286436,7.41529655,10.496332301709288,6.95846615,18.518824775,32,0.5163169907210252,0.3647601362026734,prim_gemv
