benchmark,fn_name,system,config_label,total_ms,scatter_ms,kernel_ms,gather_ms,load_ms,excluded_transfer_ms,excluded_transfer_bytes,tuning_wallclock_s,notes
prim_mtv,mtv_64MB,atim_reproduced,reproduced,2.1597228580000003,0.5947979330000001,0.78714709,0.777777835,,213.16581902404627,67108864,1211.5889019966123,excluded operands: A
prim_ttv,ttv_64MB,atim_reproduced,reproduced,2.157348317,0.5020281299999999,1.0930427219999996,0.5622774650000001,,171.78178826967874,67108864,1348.4222927093506,excluded operands: A
prim_mmtv,mmtv_64MB,atim_reproduced,reproduced,2.323499727,0.636486597,1.055533882,0.6314792480000001,,75.61248696098725,67108864,1414.8174273967743,excluded operands: A
prim_geva,geva_64MB,atim_reproduced,reproduced,8.446015810999999,0.0,1.115336059,7.330679751999999,,11.938574103017647,134217728,2390.7216341495514,"excluded operands: A,B"
prim_gemv,gemv_64MB,atim_reproduced,reproduced,2.74972663,0.8182699530000002,1.122820944,0.8086357329999999,,202.79251970350745,67108864,1240.457478761673,excluded operands: A
prim_va,va_256MB,atim_reproduced,reproduced,27.32821043,0.0,2.5827042600000003,24.74550617,,42.10619380076726,536870912,7575.716296672821,"excluded operands: A,B"
prim_red,red_256MB,atim_reproduced,reproduced,1.4493810110000005,0.001194801,0.9684156070000002,0.4797706029999999,,31.648135899255674,268435456,1949.5806901454928,excluded operands: A
prim_mtv,mtv_256MB,atim_reproduced,reproduced,3.533591715,0.838835127,1.880424101,0.8143324869999997,,508.5438632716735,268435456,2998.761914491653,excluded operands: A
prim_ttv,ttv_256MB,atim_reproduced,reproduced,3.703503022000001,0.602968928,2.4163343900000003,0.6841997040000001,,21.356824164589245,268435456,3427.0678341388702,excluded operands: A
prim_mmtv,mmtv_256MB,atim_reproduced,reproduced,6.913863599999999,0.5787307010000001,5.672043573999999,0.6630893249999998,,7537.989110375444,268435456,3872.633785486221,excluded operands: A
prim_geva,geva_256MB,atim_reproduced,reproduced,28.234131969000003,0.0,3.352858420999999,24.881273548000003,,44.49848101163904,536870912,9060.151231765749,"excluded operands: A,B"
prim_gemv,gemv_256MB,atim_reproduced,reproduced,4.814188955999999,0.8198258610000001,3.146260660999999,0.8481024340000001,,972.2228612129888,268435456,3415.2119228839874,excluded operands: A
prim_red,red_512MB,atim_reproduced,reproduced,1.7508859709999995,0.001255703,1.3173925999999996,0.4322376679999999,,63.93595086410642,536870912,3846.365799665451,excluded operands: A
prim_mtv,mtv_512MB,atim_reproduced,reproduced,4.879520333,0.752255241,3.296573971,0.8306911210000001,,2250.480539786319,536870912,6207.530613422394,excluded operands: A
prim_ttv,ttv_512MB,atim_reproduced,reproduced,11.988341306,0.616659887,10.538434241,0.8332471779999998,,636.2670178835591,536870912,5255.684759140015,excluded operands: A
prim_mmtv,mmtv_512MB,atim_reproduced,reproduced,4.706371381,0.612908325,3.279853768,0.8136092880000001,,1084.8684132409592,536870912,7119.703620433807,excluded operands: A
prim_gemv,gemv_512MB,atim_reproduced,reproduced,7.622781416,0.980848373,5.802023074,0.839909969,,1912.939635105431,536870912,6072.983358860016,excluded operands: A
