num_dpus,blocks_per_dpu,block_size,iter,ns
1984,1,8,0,390416
1984,1,8,1,380108
1984,1,8,2,399182
1984,1,8,3,549160
1984,1,8,4,501135
1984,1,8,5,505082
1984,1,8,6,512129
1984,1,8,7,549213
1984,1,8,8,481623
1984,1,8,9,472809
1984,1,16,0,500040
1984,1,16,1,519318
1984,1,16,2,546730
1984,1,16,3,540487
1984,1,16,4,512735
1984,1,16,5,494748
1984,1,16,6,488788
1984,1,16,7,494010
1984,1,16,8,500674
1984,1,16,9,411468
1984,1,24,0,408685
1984,1,24,1,403713
1984,1,24,2,431401
1984,1,24,3,414016
1984,1,24,4,410322
1984,1,24,5,402100
1984,1,24,6,407919
1984,1,24,7,405985
1984,1,24,8,453547
1984,1,24,9,421048
1984,1,32,0,467044
1984,1,32,1,464457
1984,1,32,2,467708
1984,1,32,3,479973
1984,1,32,4,474610
1984,1,32,5,470215
1984,1,32,6,477765
1984,1,32,7,472242
1984,1,32,8,457695
1984,1,32,9,450299
1984,1,40,0,466443
1984,1,40,1,487625
1984,1,40,2,469516
1984,1,40,3,473090
1984,1,40,4,461973
1984,1,40,5,457963
1984,1,40,6,498199
1984,1,40,7,482110
1984,1,40,8,408478
1984,1,40,9,404751
1984,1,48,0,418944
1984,1,48,1,422135
1984,1,48,2,425189
1984,1,48,3,432031
1984,1,48,4,432969
1984,1,48,5,424325
1984,1,48,6,432664
1984,1,48,7,433813
1984,1,48,8,435031
1984,1,48,9,431852
1984,1,56,0,426657
1984,1,56,1,434421
1984,1,56,2,410517
1984,1,56,3,422837
1984,1,56,4,445086
1984,1,56,5,433699
1984,1,56,6,431200
1984,1,56,7,428881
1984,1,56,8,401632
1984,1,56,9,778957
1984,1,64,0,381913
1984,1,64,1,404734
1984,1,64,2,391679
1984,1,64,3,375356
1984,1,64,4,407523
1984,1,64,5,390751
1984,1,64,6,375042
1984,1,64,7,394521
1984,1,64,8,377981
1984,1,64,9,383536
1984,1,72,0,401630
1984,1,72,1,402452
1984,1,72,2,390590
1984,1,72,3,391338
1984,1,72,4,401557
1984,1,72,5,396540
1984,1,72,6,388909
1984,1,72,7,386972
1984,1,72,8,375206
1984,1,72,9,415095
1984,1,80,0,379169
1984,1,80,1,381756
1984,1,80,2,390042
1984,1,80,3,385694
1984,1,80,4,374450
1984,1,80,5,380186
1984,1,80,6,363608
1984,1,80,7,406681
1984,1,80,8,387576
1984,1,80,9,376293
1984,1,88,0,388841
1984,1,88,1,372316
1984,1,88,2,371311
1984,1,88,3,376101
1984,1,88,4,384513
1984,1,88,5,370520
1984,1,88,6,399730
1984,1,88,7,403172
1984,1,88,8,380813
1984,1,88,9,381127
1984,1,96,0,355785
1984,1,96,1,387229
1984,1,96,2,362521
1984,1,96,3,356086
1984,1,96,4,382155
1984,1,96,5,361081
1984,1,96,6,358373
1984,1,96,7,357523
1984,1,96,8,362710
1984,1,96,9,361166
1984,1,104,0,348201
1984,1,104,1,372851
1984,1,104,2,366672
1984,1,104,3,393176
1984,1,104,4,363272
1984,1,104,5,372917
1984,1,104,6,390622
1984,1,104,7,367289
1984,1,104,8,368169
1984,1,104,9,387134
1984,1,112,0,358584
1984,1,112,1,356797
1984,1,112,2,371673
1984,1,112,3,353643
1984,1,112,4,362621
1984,1,112,5,356128
1984,1,112,6,364252
1984,1,112,7,363707
1984,1,112,8,351677
1984,1,112,9,365994
1984,1,120,0,364783
1984,1,120,1,393432
1984,1,120,2,372228
1984,1,120,3,356752
1984,1,120,4,352428
1984,1,120,5,357661
1984,1,120,6,386202
1984,1,120,7,513763
1984,1,120,8,493694
1984,1,120,9,499843
1984,1,128,0,495273
1984,1,128,1,509906
1984,1,128,2,517094
1984,1,128,3,598622
1984,1,128,4,507353
1984,1,128,5,525782
1984,1,128,6,509590
1984,1,128,7,500566
1984,1,128,8,501684
1984,1,128,9,508383
1984,1,136,0,517157
1984,1,136,1,528521
1984,1,136,2,526184
1984,1,136,3,508313
1984,1,136,4,511092
1984,1,136,5,512270
1984,1,136,6,508940
1984,1,136,7,515778
1984,1,136,8,453611
1984,1,136,9,457864
1984,1,144,0,449738
1984,1,144,1,450389
1984,1,144,2,456336
1984,1,144,3,454210
1984,1,144,4,454187
1984,1,144,5,450929
1984,1,144,6,494053
1984,1,144,7,456739
1984,1,144,8,441543
1984,1,144,9,438985
1984,1,152,0,452633
1984,1,152,1,447284
1984,1,152,2,484283
1984,1,152,3,441611
1984,1,152,4,439115
1984,1,152,5,528320
1984,1,152,6,500774
1984,1,152,7,499484
1984,1,152,8,524912
1984,1,152,9,504030
1984,1,160,0,522297
1984,1,160,1,513658
1984,1,160,2,504253
1984,1,160,3,516077
1984,1,160,4,516230
1984,1,160,5,506251
1984,1,160,6,549460
1984,1,160,7,508236
1984,1,160,8,513698
1984,1,160,9,523931
1984,1,168,0,521091
1984,1,168,1,447994
1984,1,168,2,453639
1984,1,168,3,450425
1984,1,168,4,455991
1984,1,168,5,450281
1984,1,168,6,436914
1984,1,168,7,444416
1984,1,168,8,439601
1984,1,168,9,453431
1984,1,176,0,442280
1984,1,176,1,450895
1984,1,176,2,438154
1984,1,176,3,449880
1984,1,176,4,444643
1984,1,176,5,443647
1984,1,176,6,464587
1984,1,176,7,465433
1984,1,176,8,489940
1984,1,176,9,471943
1984,1,184,0,414840
1984,1,184,1,406989
1984,1,184,2,425424
1984,1,184,3,434648
1984,1,184,4,432655
1984,1,184,5,433311
1984,1,184,6,429912
1984,1,184,7,409985
1984,1,184,8,437793
1984,1,184,9,406495
1984,1,192,0,417378
1984,1,192,1,431985
1984,1,192,2,411856
1984,1,192,3,409786
1984,1,192,4,427525
1984,1,192,5,417694
1984,1,192,6,420275
1984,1,192,7,421272
1984,1,192,8,421387
1984,1,192,9,411193
1984,1,200,0,414563
1984,1,200,1,423371
1984,1,200,2,406302
1984,1,200,3,407293
1984,1,200,4,402965
1984,1,200,5,407047
1984,1,200,6,411948
1984,1,200,7,404793
1984,1,200,8,428834
1984,1,200,9,428830
1984,1,208,0,411391
1984,1,208,1,405718
1984,1,208,2,412426
1984,1,208,3,413430
1984,1,208,4,403117
1984,1,208,5,403570
1984,1,208,6,443349
1984,1,208,7,432851
1984,1,208,8,408808
1984,1,208,9,424120
1984,1,216,0,402036
1984,1,216,1,405073
1984,1,216,2,414839
1984,1,216,3,413937
1984,1,216,4,440369
1984,1,216,5,399159
1984,1,216,6,391868
1984,1,216,7,387016
1984,1,216,8,388152
1984,1,216,9,393274
1984,1,224,0,377904
1984,1,224,1,412678
1984,1,224,2,398723
1984,1,224,3,416410
1984,1,224,4,407539
1984,1,224,5,392565
1984,1,224,6,394842
1984,1,224,7,417457
1984,1,224,8,401546
1984,1,224,9,399891
1984,1,232,0,397290
1984,1,232,1,385179
1984,1,232,2,417351
1984,1,232,3,397735
1984,1,232,4,397365
1984,1,232,5,410837
1984,1,232,6,401770
1984,1,232,7,385048
1984,1,232,8,401653
1984,1,232,9,422961
1984,1,240,0,409752
1984,1,240,1,397475
1984,1,240,2,392828
1984,1,240,3,383328
1984,1,240,4,399010
1984,1,240,5,397375
1984,1,240,6,385345
1984,1,240,7,418429
1984,1,240,8,395928
1984,1,240,9,383844
1984,1,248,0,381739
1984,1,248,1,391188
1984,1,248,2,399905
1984,1,248,3,414734
1984,1,248,4,399193
1984,1,248,5,417911
1984,1,248,6,401030
1984,1,248,7,397489
1984,1,248,8,413103
1984,1,248,9,393319
1984,1,256,0,395268
1984,1,256,1,401824
1984,1,256,2,424238
1984,1,256,3,412088
1984,1,256,4,406159
1984,1,256,5,405104
1984,1,256,6,406271
1984,1,256,7,389545
1984,1,256,8,418742
1984,1,256,9,419951
1984,1,272,0,427569
1984,1,272,1,425744
1984,1,272,2,429135
1984,1,272,3,416000
1984,1,272,4,412409
1984,1,272,5,436929
1984,1,272,6,403740
1984,1,272,7,410092
1984,1,272,8,395578
1984,1,272,9,397229
1984,1,288,0,399209
1984,1,288,1,415738
1984,1,288,2,415031
1984,1,288,3,410019
1984,1,288,4,554028
1984,1,288,5,526416
1984,1,288,6,554866
1984,1,288,7,534267
1984,1,288,8,539239
1984,1,288,9,533748
1984,1,304,0,535479
1984,1,304,1,527126
1984,1,304,2,529134
1984,1,304,3,455602
1984,1,304,4,447116
1984,1,304,5,468484
1984,1,304,6,446665
1984,1,304,7,472811
1984,1,304,8,521124
1984,1,304,9,525476
1984,1,320,0,540922
1984,1,320,1,532656
1984,1,320,2,527830
1984,1,320,3,528710
1984,1,320,4,547017
1984,1,320,5,579513
1984,1,320,6,548030
1984,1,320,7,552785
1984,1,320,8,546630
1984,1,320,9,545510
1984,1,336,0,540436
1984,1,336,1,512632
1984,1,336,2,510656
1984,1,336,3,503391
1984,1,336,4,518551
1984,1,336,5,500107
1984,1,336,6,498230
1984,1,336,7,523495
1984,1,336,8,541218
1984,1,336,9,520801
1984,1,352,0,601793
1984,1,352,1,550460
1984,1,352,2,551021
1984,1,352,3,603790
1984,1,352,4,551099
1984,1,352,5,555126
1984,1,352,6,535939
1984,1,352,7,541114
1984,1,352,8,543468
1984,1,352,9,545582
1984,1,368,0,548149
1984,1,368,1,565491
1984,1,368,2,549110
1984,1,368,3,533652
1984,1,368,4,560730
1984,1,368,5,584685
1984,1,368,6,552692
1984,1,368,7,558834
1984,1,368,8,576468
1984,1,368,9,547553
1984,1,384,0,571874
1984,1,384,1,556387
1984,1,384,2,552059
1984,1,384,3,552409
1984,1,384,4,545729
1984,1,384,5,553409
1984,1,384,6,554775
1984,1,384,7,605257
1984,1,384,8,550811
1984,1,384,9,552503
1984,1,400,0,561736
1984,1,400,1,521285
1984,1,400,2,546002
1984,1,400,3,520570
1984,1,400,4,544287
1984,1,400,5,522755
1984,1,400,6,536240
1984,1,400,7,510519
1984,1,400,8,518816
1984,1,400,9,505928
1984,1,416,0,516471
1984,1,416,1,542521
1984,1,416,2,522133
1984,1,416,3,538374
1984,1,416,4,520598
1984,1,416,5,581429
1984,1,416,6,532949
1984,1,416,7,476746
1984,1,416,8,458103
1984,1,416,9,481134
1984,1,432,0,463983
1984,1,432,1,495647
1984,1,432,2,470326
1984,1,432,3,459728
1984,1,432,4,470880
1984,1,432,5,475401
1984,1,432,6,475092
1984,1,432,7,489263
1984,1,432,8,490886
1984,1,432,9,495833
1984,1,448,0,470647
1984,1,448,1,488560
1984,1,448,2,513546
1984,1,448,3,874474
1984,1,448,4,464438
1984,1,448,5,481571
1984,1,448,6,452198
1984,1,448,7,464786
1984,1,448,8,464590
1984,1,448,9,456122
1984,1,464,0,458264
1984,1,464,1,485761
1984,1,464,2,452681
1984,1,464,3,454667
1984,1,464,4,460039
1984,1,464,5,477681
1984,1,464,6,461146
1984,1,464,7,470024
1984,1,464,8,456746
1984,1,464,9,466396
1984,1,480,0,449908
1984,1,480,1,446880
1984,1,480,2,445222
1984,1,480,3,442047
1984,1,480,4,469131
1984,1,480,5,463387
1984,1,480,6,459835
1984,1,480,7,458276
1984,1,480,8,453251
1984,1,480,9,436211
1984,1,496,0,459014
1984,1,496,1,467597
1984,1,496,2,454150
1984,1,496,3,482206
1984,1,496,4,460297
1984,1,496,5,485079
1984,1,496,6,452661
1984,1,496,7,450791
1984,1,496,8,454071
1984,1,496,9,475166
1984,1,512,0,480822
1984,1,512,1,461800
1984,1,512,2,468818
1984,1,512,3,459310
1984,1,512,4,445529
1984,1,512,5,455483
1984,1,512,6,444791
1984,1,512,7,484407
1984,1,512,8,503066
1984,1,512,9,469266
1984,1,544,0,476598
1984,1,544,1,489374
1984,1,544,2,480957
1984,1,544,3,451302
1984,1,544,4,489966
1984,1,544,5,455551
1984,1,544,6,455672
1984,1,544,7,464771
1984,1,544,8,460671
1984,1,544,9,447794
1984,1,576,0,461145
1984,1,576,1,513400
1984,1,576,2,453361
1984,1,576,3,464667
1984,1,576,4,463043
1984,1,576,5,457339
1984,1,576,6,462720
1984,1,576,7,478467
1984,1,576,8,464099
1984,1,576,9,492881
1984,1,608,0,472235
1984,1,608,1,462130
1984,1,608,2,469199
1984,1,608,3,460396
1984,1,608,4,465547
1984,1,608,5,449445
1984,1,608,6,483377
1984,1,608,7,454313
1984,1,608,8,465241
1984,1,608,9,470735
1984,1,640,0,470387
1984,1,640,1,504884
1984,1,640,2,494022
1984,1,640,3,477322
1984,1,640,4,458622
1984,1,640,5,452752
1984,1,640,6,460928
1984,1,640,7,456611
1984,1,640,8,457780
1984,1,640,9,488374
1984,1,672,0,502700
1984,1,672,1,493499
1984,1,672,2,482476
1984,1,672,3,470014
1984,1,672,4,490093
1984,1,672,5,493162
1984,1,672,6,490307
1984,1,672,7,480685
1984,1,672,8,467180
1984,1,672,9,491576
1984,1,704,0,489723
1984,1,704,1,469896
1984,1,704,2,468529
1984,1,704,3,507599
1984,1,704,4,488353
1984,1,704,5,492828
1984,1,704,6,491501
1984,1,704,7,496574
1984,1,704,8,473420
1984,1,704,9,489570
1984,1,736,0,524121
1984,1,736,1,521776
1984,1,736,2,521534
1984,1,736,3,516839
1984,1,736,4,511042
1984,1,736,5,511584
1984,1,736,6,549961
1984,1,736,7,522273
1984,1,736,8,519694
1984,1,736,9,525638
1984,1,768,0,643439
1984,1,768,1,663146
1984,1,768,2,633928
1984,1,768,3,621616
1984,1,768,4,624121
1984,1,768,5,614943
1984,1,768,6,629368
1984,1,768,7,646636
1984,1,768,8,638215
1984,1,768,9,639953
1984,1,800,0,630168
1984,1,800,1,646526
1984,1,800,2,656849
1984,1,800,3,632122
1984,1,800,4,620529
1984,1,800,5,634059
1984,1,800,6,683466
1984,1,800,7,621428
1984,1,800,8,652644
1984,1,800,9,562927
1984,1,832,0,577290
1984,1,832,1,583040
1984,1,832,2,704073
1984,1,832,3,594495
1984,1,832,4,565264
1984,1,832,5,569826
1984,1,832,6,576373
1984,1,832,7,562736
1984,1,832,8,589978
1984,1,832,9,595610
1984,1,864,0,546075
1984,1,864,1,547140
1984,1,864,2,542580
1984,1,864,3,548607
1984,1,864,4,562761
1984,1,864,5,571269
1984,1,864,6,545862
1984,1,864,7,565726
1984,1,864,8,555867
1984,1,864,9,542447
1984,1,896,0,563376
1984,1,896,1,564684
1984,1,896,2,556064
1984,1,896,3,568262
1984,1,896,4,562900
1984,1,896,5,564033
1984,1,896,6,587380
1984,1,896,7,554666
1984,1,896,8,544752
1984,1,896,9,535900
1984,1,928,0,542033
1984,1,928,1,568277
1984,1,928,2,550912
1984,1,928,3,551777
1984,1,928,4,553428
1984,1,928,5,549837
1984,1,928,6,553288
1984,1,928,7,538076
1984,1,928,8,571192
1984,1,928,9,550050
1984,1,960,0,548909
1984,1,960,1,548828
1984,1,960,2,548546
1984,1,960,3,560343
1984,1,960,4,563866
1984,1,960,5,555998
1984,1,960,6,548539
1984,1,960,7,588873
1984,1,960,8,544503
1984,1,960,9,557816
1984,1,992,0,552793
1984,1,992,1,554061
1984,1,992,2,555603
1984,1,992,3,558439
1984,1,992,4,547547
1984,1,992,5,560607
1984,1,992,6,575247
1984,1,992,7,563108
1984,1,992,8,546543
1984,1,992,9,540137
1984,1,1024,0,442545
1984,1,1024,1,459494
1984,1,1024,2,487428
1984,1,1024,3,440571
1984,1,1024,4,442940
1984,1,1024,5,470875
1984,1,1024,6,468251
1984,1,1024,7,462488
1984,1,1024,8,452720
1984,1,1024,9,478042
1984,1,1088,0,464559
1984,1,1088,1,458753
1984,1,1088,2,477042
1984,1,1088,3,470544
1984,1,1088,4,535879
1984,1,1088,5,499039
1984,1,1088,6,528884
1984,1,1088,7,559074
1984,1,1088,8,481524
1984,1,1088,9,495770
1984,1,1152,0,493739
1984,1,1152,1,514630
1984,1,1152,2,539159
1984,1,1152,3,505314
1984,1,1152,4,519152
1984,1,1152,5,514930
1984,1,1152,6,490440
1984,1,1152,7,482734
